top - 00:41:16 up 1 day,  5:51,  1 user,  load average: 0.87, 1.93, 1.37
任务: 437 total,   2 running, 435 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.2 us,  9.5 sy,  0.0 ni, 53.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 128605.6 total,   1094.2 free,   7560.4 used, 119951.0 buff/cache
MiB Swap: 124999.0 total, 124420.2 free,    578.8 used. 108706.2 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   1372 gdm       20   0  326348   6720   5348 S   0.0   0.0   0:00.89 gvfs-ud+
   1378 gdm       20   0  325536   6192   5652 S   0.0   0.0   0:01.78 gvfs-af+
   1383 gdm       20   0  244688   3396   3224 S   0.0   0.0   0:00.00 gvfs-go+
   1387 gdm       20   0  562396  14352   8440 S   0.0   0.0   0:00.04 goa-dae+
   1395 gdm       20   0  327536   6832   5260 S   0.0   0.0   0:00.49 goa-ide+
   1400 gdm       20   0  244484   3420   3120 S   0.0   0.0   0:00.01 gvfs-mt+
   1405 gdm       20   0  246892   3452   3216 S   0.0   0.0   0:00.01 gvfs-gp+
   1428 gdm       20   0    5296    208    208 S   0.0   0.0   0:00.00 dbus-ru+
   1429 gdm       20   0    7552   2584   2320 S   0.0   0.0   0:00.03 dbus-da+
   1430 gdm       20   0  421280   8900   8268 S   0.0   0.0   0:00.09 gnome-s+
   1433 gdm       20   0  309516   5236   5236 S   0.0   0.0   0:00.00 at-spi-+
   1438 gdm       20   0    7116   2136   2120 S   0.0   0.0   0:00.00 dbus-da+
   1589 gdm       20   0  323480   5252   5108 S   0.0   0.0   0:00.01 ibus-da+
   1592 gdm       20   0  175172   4840   4348 S   0.0   0.0   0:00.00 ibus-me+
   1595 gdm       20   0  199548  12756  10744 S   0.0   0.0   0:00.01 ibus-x11
   1597 gdm       20   0  248972   4288   4288 S   0.0   0.0   0:00.00 ibus-po+
   1607 gdm       20   0  162912   3728   3692 S   0.0   0.0   0:00.00 at-spi2+
   1611 gdm       20   0  244508   2040   2040 S   0.0   0.0   0:00.00 xdg-per+
   1626 gdm       20   0 2939176  15976  11156 S   0.0   0.0   0:00.02 gjs
   1640 gdm       20   0  477840   7548   6512 S   0.0   0.0   0:00.82 gsd-sha+
   1643 gdm       20   0  270660  10692   9476 S   0.0   0.0   0:00.01 gsd-wac+
   1645 gdm       20   0  496388  12084  11516 S   0.0   0.0   0:00.34 gsd-col+
   1646 gdm       20   0  347548  13232  11568 S   0.0   0.0   0:00.01 gsd-key+
   1647 gdm       20   0  257060   7376   6200 S   0.0   0.0   0:00.01 gsd-pri+
   1648 gdm       20   0  465932   3828   3512 S   0.0   0.0   0:00.02 gsd-rfk+
   1650 gdm       20   0  326884   5144   4428 S   0.0   0.0   0:00.00 gsd-sma+
   1651 gdm       20   0  383164   9840   7808 S   0.0   0.0   0:00.01 gsd-dat+
   1654 gdm       20   0  903400  13180  12300 S   0.0   0.0   0:00.10 gsd-med+
   1658 gdm       20   0  244340   4012   3692 S   0.0   0.0   0:00.00 gsd-scr+
   1661 gdm       20   0  330588   5844   5352 S   0.0   0.0   0:00.00 gsd-sou+
   1663 gdm       20   0  322720   5808   5000 S   0.0   0.0   0:00.00 gsd-a11+
   1666 gdm       20   0  322892   5488   5028 S   0.0   0.0   0:02.41 gsd-hou+
   1668 gdm       20   0  348432  13372  11588 S   0.0   0.0   0:00.14 gsd-pow+
   1698 gdm       20   0  351012   9792   8548 S   0.0   0.0   0:00.00 gsd-pri+
   1703 gdm       20   0  175296   4540   4268 S   0.0   0.0   0:00.00 ibus-en+
   1724 colord    20   0  257880  11832   6568 S   0.0   0.0   0:00.13 colord
   1800 root      20   0  323564   7872   5624 S   0.0   0.0   0:00.19 gdm-ses+
   1808 wangjia   20   0   20016   5800   4096 S   0.0   0.0   0:02.50 systemd
   1809 wangjia   20   0  169820   2984      0 S   0.0   0.0   0:00.00 (sd-pam)
   1814 wangjia    9 -11 2466660  11780   9268 S   0.0   0.0   0:01.30 pulseau+
   1816 wangjia   39  19  520280   8920   7896 S   0.0   0.0   0:00.10 tracker+
   1820 wangjia   20   0   10180   5832   2580 S   0.0   0.0   0:03.61 dbus-da+
   1822 wangjia   20   0  249136   5016   4460 S   0.0   0.0   0:00.31 gnome-k+
   1827 wangjia   20   0  248604   5284   4648 S   0.0   0.0   0:00.13 gvfsd
   1832 wangjia   20   0  382068   4536   4420 S   0.0   0.0   0:00.01 gvfsd-f+
   1851 wangjia   20   0  400192   6948   5432 S   0.0   0.0   0:00.98 gvfs-ud+
   1859 wangjia   20   0  325536   6048   5672 S   0.0   0.0   0:01.72 gvfs-af+
   1864 wangjia   20   0  244688   4316   3852 S   0.0   0.0   0:00.03 gvfs-go+
   1870 wangjia   20   0  562400   8768   8444 S   0.0   0.0   0:00.06 goa-dae+
   1871 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1878 wangjia   20   0  327536   5816   5208 S   0.0   0.0   0:00.40 goa-ide+
   1883 wangjia   20   0  244484   3492   3060 S   0.0   0.0   0:00.04 gvfs-mt+
   1888 wangjia   20   0  246892   4372   4056 S   0.0   0.0   0:00.05 gvfs-gp+
   1902 wangjia   20   0  172804   4048   3800 S   0.0   0.0   0:00.00 gdm-x-s+
   1916 wangjia   20   0  199384   8004   8004 S   0.0   0.0   0:00.02 gnome-s+
   1983 wangjia   20   0    6040     36      0 S   0.0   0.0   0:00.20 ssh-age+
   2002 wangjia   20   0  309740   5436   5260 S   0.0   0.0   0:00.01 at-spi-+
   2007 wangjia   20   0    7380   2676   2340 S   0.0   0.0   0:00.54 dbus-da+
   2092 wangjia   20   0   98860   1524   1524 S   0.0   0.0   0:00.00 gnome-s+
   2099 wangjia   20   0  495992   9728   8400 S   0.0   0.0   0:00.42 gnome-s+
   2175 wangjia   20   0  175336   4356   4180 S   0.0   0.0   0:00.01 ibus-me+
   2176 wangjia   20   0  287348  20456  13328 S   0.0   0.0   0:05.18 ibus-ex+
   2178 wangjia   20   0  209652  12940  12516 S   0.0   0.0   0:00.22 ibus-x11
   2180 wangjia   20   0  249264   5608   5104 S   0.0   0.0   0:00.21 ibus-po+
   2193 wangjia   20   0  162912   3868   3712 S   0.0   0.0   0:01.68 at-spi2+
